,_id,ltable_ID,rtable_ID,ltable_3.5mm jack,ltable_Battery,ltable_Clock Speed,ltable_Card slot,ltable_GPS Support,ltable_GPU,ltable_Internal Storage,ltable_NFC,ltable_Name,ltable_OS,ltable_Price,ltable_Primary Camera,ltable_Resolution,ltable_SIM,ltable_Secondary Camera,ltable_Sensors,ltable_Weight,rtable_3.5mm jack,rtable_Battery,rtable_GPS Support,rtable_GPU,rtable_Internal Storage,rtable_Card slot,rtable_NFC,rtable_Name,rtable_OS,rtable_Price,rtable_Primary Camera,rtable_Clock Speed,rtable_SIM,rtable_Secondary Camera,rtable_Sensors,rtable_Weight,rtable_Resolution
65,65,8,24,Yes,3000.0,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-400MP2,"8 GB, 2 GB RAM",,Micromax Canvas Juice 2 AQ5001,Android 5.0 (Lollipop),About 130 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,"Accelerometer, proximity",170 g (6.00 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
66,66,2115,24,Yes,2500.0,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB",Yes,Mali-T720MP2,"16 GB, 3 GB RAM",,Micromax Canvas Mega 4G Q417,Android 5.1 (Lollipop),About 150 EUR,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",145 g (5.11 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
68,68,122,24,Yes,3050.0,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB (dedicated slot)",Yes,Mali-T720,"16 GB, 3 GB RAM",,Micromax Canvas 2 Q4310,Android 7.0 (Nougat),About 12000 INR,"13 MP, f/2.0, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)","5 MP, f/2.0","Fingerprint (front-mounted), accelerometer, proximity",160 g (5.64 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
70,70,2364,24,Yes,2500.0,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 32 GB",Yes,Adreno 405,"16 GB, 2 GB RAM",,Micromax Canvas Nitro 4G E455,Android 5.0.2 (Lollipop),,"13 MP, autofocus, dual-LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity, compass",135 g (4.76 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
71,71,361,24,Yes,2820.0,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 32 GB",Yes,Adreno 306,"16 GB, 2 GB RAM",,Micromax Canvas Play 4G Q469,Android 5.0.2 (Lollipop),,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity, compass",100 g (3.53 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
73,73,2552,24,Yes,2000.0,Quad-core 1.0 GHz Cortex-A53,"microSD, up to 32 GB",Yes,Mali-T720MP2,"16 GB, 2 GB RAM",,Micromax Canvas Xpress 4G Q413,Android 5.1 (Lollipop),,"8 MP, f/2.0, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM (Micro-SIM),2 MP,"Accelerometer, proximity",155 g (5.47 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
74,74,540,24,Yes,2600.0,Quad-core 1.2 GHz Cortex-A7,No,Yes,PowerVR SGX544,"16 GB (13 GB user available), 1 GB RAM",,Micromax A240 Canvas Doodle 2,Android 4.2.1 (Jelly Bean),About 230 EUR,"12 MP, autofocus, dual-LED flash","720 x 1280 pixels, 16:9 ratio (~258 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity",220 g (7.76 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
75,75,2607,24,Yes,2230.0,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 306,"8 GB, 1 GB RAM",,Micromax Canvas Amaze 4G Q491,Android 5.1.1 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,"Accelerometer, gyro, proximity, compass",-,,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
77,77,2713,24,Yes,2500.0,Octa-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-450MP4,"8 GB, 1 GB RAM",,Micromax Canvas Xpress 2 E313,Android 4.4.2 (KitKat),About 90 EUR,"13 MP, autofocus, dual-LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,2 MP,"Accelerometer, proximity",135 g (4.76 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
78,78,2754,24,Yes,2500.0,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 32 GB",Yes,Adreno 405,"16 GB, 2 GB RAM",,Micromax Canvas Amaze 2 E457,Android 5.0.2 (Lollipop),About 100 EUR,"13 MP, autofocus, dual-LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity, compass",-,,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
80,80,2965,24,Yes,2000.0,Quad-core 1.0 GHz Cortex-A53,"microSD, up to 32 GB",Yes,Mali-T720MP2,"16 GB, 3 GB RAM",,Micromax Canvas xp 4G Q413,Android 5.1 (Lollipop),,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,"Accelerometer, proximity",134 g (4.73 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
84,84,1001,24,Yes,2400.0,Octa-core 1.4 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-450MP4,"16 GB, 2 GB RAM",,Micromax Canvas Nitro 2 E311,Android 4.4.2 (KitKat),About 150 EUR,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity",143 g (5.04 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
85,85,3061,24,Yes,2390.0,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Adreno 305,"8/16 GB, 1 GB RAM",,Motorola Moto G 4G Dual SIM ,Android 5.0.2 (Lollipop),About 240 EUR,"8 MP, f/2.0, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,"Accelerometer, gyro, proximity, compass",155 g (5.47 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
86,86,3070,24,Yes,2260.0,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 32 GB (uses SIM 2 slot)",Yes,Adreno 405,"16 GB, 2 GB RAM",,Micromax Canvas Knight 2 E471,Android 5.0 (Lollipop),About 230 EUR,"13 MP, autofocus, dual-LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",-,,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
87,87,3115,24,Yes,4000.0,Quad-core 1.0 GHz,"microSD, up to 32 GB",Yes,,"8 GB, 2 GB RAM",,Micromax Canvas Juice 4G Q461,Android 5.1 (Lollipop),,"8 MP, autofocus, dual-LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",152 g (5.36 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
88,88,1113,24,Yes,2100.0,Octa-core 1.3 GHz,"microSD, up to 32 GB",Yes,,"16 GB, 3 GB RAM",,Micromax Canvas Pulse 4G E451,Android 5.1 (Lollipop),About 130 EUR,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,5 MP,"Accelerometer, proximity",128 g (4.52 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
90,90,1475,24,Yes,2000.0,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Adreno 302,"4 GB, 1 GB RAM",,Micromax A121 Canvas Elanza 2,Android 4.3 (Jelly Bean),About 120 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,2 MP,"Accelerometer, proximity",159 g (5.61 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
94,94,1683,24,Yes,2000.0,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400MP2,"4 GB, 1 GB RAM",,Micromax A120 Canvas 2 Colors,Android 4.2 (Jelly Bean),About 110 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM,2 MP,"Accelerometer, proximity",168 g (5.93 oz),,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
97,97,1940,24,Yes,2000.0,Quad-core 1.0 GHz Cortex-A53,"microSD, up to 32 GB",Yes,Mali-T720MP2,"8 GB, 1 GB RAM",,Micromax Canvas Fire 4G Plus Q412,Android 5.1 (Lollipop),About 90 EUR,"8 MP, f/2.0, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~312 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, proximity",-,,2820.0,,,16 GB,,,"Micromax Canvas Play 4G Q469 Dual Sim - Moon Dust (Grey, 16 GB)Â Â (2 GB RAM)",Android Lollipop 5.0.2,"‚¹6,499",13MP,1.2 GHz,Nano SIM,5MP,"Light Sensor, Gravity Sensor, Proximity, Magnetic Sensor",100 g,1280 x 720 Pixels
98,98,2121,53,Yes,2000.0,Quad-core 1.6 GHz,"microSD, up to 64 GB (dedicated slot)",Yes,,"8 GB (2.8 GB user available), 2 GB RAM",Yes,Samsung Galaxy Camera 2 GC200,Android 4.3 (Jelly Bean),About 330 EUR,"16.3 MP (1/2.3""), autofocus, 21x optical zoom, OIS, pop-up Xenon flash, AF light","720 x 1280 pixels, 16:9 ratio (~306 ppi density)",No,No,"Accelerometer, gyro, compass",283 g (9.98 oz),Yes,3000.0,Yes,,16 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
106,106,2691,53,Yes,2800.0,Quad-core 1.5 GHz (SM-G750F)Quad-core 1.2 GHz Cortex-A53 (SM-G7508),"microSD, up to 64 GB (dedicated slot)",Yes,Mali-400MP4 (SM-G750F)Adreno 306 (SM-G7508),"16 GB, 1.5 GB RAM",Yes,Samsung Galaxy Mega 2,Android 4.4.3 (KitKat),About 340 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Micro-SIM,2.1 MP,"Accelerometer, gyro, proximity, compass",194 g (6.84 oz),Yes,3000.0,Yes,,16 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
113,113,905,53,Yes,3300.0,Octa-core (4x1.6 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)Octa-core 1.6 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 405Mali-T830 MP1,"16 GB, 2 GB RAM",Yes,Samsung Galaxy J7 ,"Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",About 230 EUR,"13 MP (f/1.9, 28mm), autofocus, LED flash, check quality","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5 MP, f/1.9, LED flash","Accelerometer, proximity",170 g (6.00 oz),Yes,3000.0,Yes,,16 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
114,114,2954,53,Yes,2600.0,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)",Yes,Adreno 305,"8 GB, 1.5 GB RAM",,Samsung Galaxy Grand 2,"Android 4.3 (Jelly Bean), upgradable to 4.4.2 (KitKat)",About 180 EUR,"8 MP (f/2.4, 31mm), autofocus, LED flash, check quality","720 x 1280 pixels, 16:9 ratio (~280 ppi density)","Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",1.9 MP,"Accelerometer, proximity, compass",163 g (5.75 oz),Yes,3000.0,Yes,,16 GB,Dedicated Slot,,"Samsung Galaxy J7 Nxt (Black, 16 GB)Â Â (2 GB RAM)",Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
